Product,ProductId,Brand,Quantity,Unit,Barcode,Category,Price,UnitPrice,SpecialPrice,BestPrice30,AnchorPrice
MLIJEKO UHT 2.8% MM 1L TE,90381469,Z BREGOV,1.00 l,ko,3850108020908,HRANA,,0.94,0.94,0.94,1.02
MASLAC 250g VINDIJA,02180362,Z BREGOV,0.25 kg,ko,3850108060102,HRANA,,11.4,2.85,2.85,2.99
JOGURT 2.8% 1000g PET BOCA VINDIJA,90513894,Z BREGOV,1.00 kg,ko,3850108037388,HRANA,2.55,2.55,,,2.55
KEFIR SUPER 3%MM 750g Z BREGOV,90732927,Z BREGOV,0.75 kg,ko,3850108037548,HRANA,2.15,2.87,,,2.15
SIR TVRDI OVIDUR 1/4 KRIŠKA VINDIJA,90410418,Z BREGOV,1.00 kg,kg,3850108052862,HRANA,,23.99,23.99,23.99,31.49
NAPITAK PROTEIN ČOK UHT 0.5L VINDIJA,90404992,Z BREGOV,0.50 l,ko,3850108023664,HRANA,2.59,5.18,,,2.59
KEFIR 3.5%MM TREX 1000G VINDIJA,90268103,Z BREGOV,1.00 kg,ko,3850108030488,HRANA,,2.09,2.09,2.09,2.49
KISELO VRHNJE 25% MM 900g,90240833,Z BREGOV,0.90 kg,ko,3850108036411,HRANA,4.69,5.21,,,4.69
JOGURT VOĆNI JAGODA 150g VINDIJA,90229161,Z BREGOV,0.15 kg,ko,3850108037838,HRANA,,3.27,0.49,0.49,0.67
ČOKOLADNO JAJE BARBIE 20g ZAINI,90804852,ZAINI,0.02 kg,ko,80712756,HRANA,1.35,67.5,,,1.25
PERECI SLANI 250g ZLATNO ZRNO,04025444,ZLATNO ZRNO,0.25 kg,ko,3859889360746,HRANA,2.69,10.76,,,2.69
ULJE MASLIN EX DJ 0.5L ZVIJEZDA,03210019,ZVIJEZDA,0.50 l,ko,3858882211574,HRANA,7.79,15.58,,,7.79
MARGARIN STOLNI  500g ZVIJ,02210226,ZVIJEZDA,0.50 kg,ko,3858882210553,HRANA,1.95,3.9,,,1.75
MARGARIN ZA KREME 250g ZVIJEZDA,02210235,ZVIJEZDA,0.25 kg,ko,3858882211611,HRANA,1.09,4.36,,,1.09
HREN 260g STAKLO ZVIJEZDA,90713493,ZVIJEZDA,0.26 kg,ko,3856015328472,HRANA,2.25,8.65,,,2.25
AJVAR BLAGI 700g ZVIJEZDA,01480215,ZVIJEZDA,0.70 kg,ko,3858882216128,HRANA,4.09,5.84,,,4.09
UMAK TARTAR 260g STAKLO ZVIJEZDA,90713485,ZVIJEZDA,0.26 kg,ko,3856015328441,HRANA,2.15,8.27,,,2.15
